,Description of intake location changes,Description of noncompliance with terms and conditions,Description of place of use changes,Description of type of use changes,I am complying with all terms and conditions,I have reviewed my water right permit,Intake location has been changed,Place of use has changed,Type of use has changed,ApplID,Report_ID
14,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157397
15,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208331
16,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235103
17,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294058
18,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341066
19,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36732
20,,,,,Yes,Yes,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50075
21,,,,,Yes,,,,,A000448,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85158
22,,"Direct diversions occurred in May and September.  In the spring, this was caused by warm weather increasing demands while the reservoirs were spilling.  In the fall, this was caused by rainfall increasing storage while demands had not yet reached lower winter levels.  This situation has occurred regularly since the beginning of operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversions to Permits 271 and 16040 to conform the rights to historical and current operations.",,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113100
23,,Direct diversions occurred in March and April.  This was caused by warm weather increasing demands while the reservoirs were spilling.  This situation has occurred regularly since the beginning of operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversions to Permits 271 and 16040 to conform rights to historical and current operations.,,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157398
24,,Direct diversions occurred in March and April.  This was caused by warm weather increasing demands while the reservoirs were spilling.  This situation has occurred regularly since the beginning of operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversions to Permits 271 and 16040 to conform rights to historical and current operations.,,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=180860
25,,,,,Yes,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207803
26,,,,,Yes,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235104
27,,Direct diversion occurred in May 2016.  This was due to late rainfall events that caused regulation of water.  Situations like this have occurred regularly since the beginning of operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversion to Permits 271 and 16040 to conform rights to historical and current operations.,,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294059
28,,Direct diversion occurred in May 2017.  This was due to late rainfall events that caused regulation of water.  Situations like this have occurred regularly since the beginning of operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversion to Permits 271 and 16040 to conform rights to historical and current operations.,,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339801
29,,,,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37044
30,,"Direct diversions occurred in May, June, October & December.  In the spring, this was caused by warm weather increasing demands while the reservoirs were spilling.  In the fall, this was caused by rainfall increasing storage while demands had not yet reached winter lower levels.  This situation has occurred regularly since the beginning of project operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversion to Permits 271 and 16040 to conform the rights to historical and current operations.",,,No,Yes,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50132
31,,"Direct diversions occurred in May, June and October.  In the spring, this was caused by warm weather increasing demands while the reservoirs were spilling.  In the fall, this was caused by rainfall increasing storage while demands had not yet reached lower winter levels.  This situation has occurred regularly since the beginning of project operations.  Permittee filed a Petition to Change the Method of Diversion to add direct diversions to Permits 271 and 16040 to conform the rights to historical and current operations.",,,No,,,,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85890
32,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112927
33,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156465
34,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208332
35,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235105
36,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293129
37,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340556
38,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36575
39,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381020
40,,,,,Yes,Yes,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50425
41,,,,,Yes,,,,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85716
42,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112564
43,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156466
44,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181466
45,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207249
46,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235106
47,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293130
48,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340370
49,The water used under this permit was drawn from the Carnelian Woods Well because of the water quality problems associated with the use of the surface source identified as the Point of Diversion under Application 001379.  The North Tahoe Public Utility District is studying the feasibility of a variety of improvements to its systems; under consideration is work on a surface water diversion point to take the place of the Point of Diversion identified under this permit.,,,,Yes,Yes,Yes,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37560
50,The water used under this permit was drawn from the Carnelian Woods Well because of the water quality problems associated with the use of the surface source identified as the Point of Diversion under Application 001379.  The North Tahoe Public Utility District is studying the feasibility of a variety of improvements to its systems; under consideration is work on a surface water diversion point to take the place of the Point of Diversion identified under this permit.,,,,Yes,Yes,Yes,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50536
51,,,,,Yes,,,,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85355
52,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112565
53,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156661
54,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208526
55,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235107
56,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293325
57,,Some potential out of season direct diversion in January.,,,No,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339997
58,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37728
59,,Some potential out of season direct diversion in January.,,,No,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382183
60,,minor storage out of season (October) due to fluctuations at minimum,Petitions in process to facilitate the San Joaquin River Restoration Program.,Petitions in process to facilitate the San Joaquin River Restoration Program.,No,Yes,,Yes,Yes,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50340
61,,,,,Yes,,,,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85356
62,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112002
63,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157218
64,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208151
65,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235108
66,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293881
67,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340553
68,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37547
69,,,,,Yes,Yes,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49376
70,,,,,Yes,,,,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84786
71,,,,,Yes,,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112566
72,,,,,Yes,,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156467
73,,,,,Yes,,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207617
74,,,,,Yes,,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235109
75,,,,,Yes,,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293131
76,,,,,Yes,Yes,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37608
77,,,,,Yes,Yes,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49893
78,,,,,Yes,,,,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85357
79,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111794
80,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151261
81,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157399
82,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=182386
83,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208333
84,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235110
85,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294060
86,,,,,Yes,Yes,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37413
87,,,,,,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48476
88,,,,,Yes,Yes,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50463
89,,,,,Yes,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84578
90,,,,,Yes,,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112567
91,,,,,Yes,,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157400
92,,,,,Yes,,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207975
93,,,,,Yes,,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235111
94,,,,,Yes,,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294061
95,,,,,Yes,Yes,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37607
96,,,,,Yes,Yes,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49761
97,,,,,Yes,,,,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85358
98,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112928
99,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157019
100,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208152
101,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235112
102,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293679
103,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340176
104,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37551
105,,,,,Yes,Yes,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49533
106,,,,,Yes,,,,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85717
107,,,,,Yes,,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112568
108,,,,,Yes,,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156468
109,,,,,Yes,,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208527
110,,,,,Yes,,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235113
111,,,,,Yes,,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293132
112,,,,,Yes,Yes,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37606
113,,,,,Yes,Yes,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50105
114,,,,,Yes,,,,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85359
115,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113101
116,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157020
117,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208528
118,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235114
119,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293680
120,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340132
121,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36576
122,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381021
123,,,,,Yes,Yes,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50076
124,,,,,Yes,,,,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85891
125,,,,,Yes,,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112756
126,,,,,Yes,,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156308
127,,,,,Yes,,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208334
128,,,,,Yes,,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235115
129,,,,,Yes,,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292974
130,,,,,Yes,Yes,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37609
131,,,,,Yes,Yes,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49419
132,,,,,Yes,,,,,A002979,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85545
133,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111795
134,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157021
135,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207250
136,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235116
137,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293681
138,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340141
139,,,,,Yes,Yes,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36947
140,,,,,Yes,Yes,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49271
141,,,,,Yes,,,,,A003544,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84579
142,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112191
143,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157022
144,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208335
145,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235117
146,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293682
147,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=341021
148,,,,,Yes,Yes,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36948
149,,,,,Yes,Yes,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49321
150,,,,,Yes,,,,,A003555,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84974
151,,,,,Yes,Yes,,,,A004136,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=83533
152,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111996
153,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156297
154,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208146
155,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235118
156,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292963
157,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340291
158,,,,,Yes,Yes,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36946
159,,,,,Yes,Yes,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49507
160,,,,,Yes,,,,,A004909,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84780
161,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112181
162,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156653
163,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208147
164,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235119
165,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293317
166,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=337018
167,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340509
168,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381301
169,,,,,Yes,,,,,A004997,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84964
170,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112558
171,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156120
172,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207243
173,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235120
174,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=292789
175,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339622
176,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37550
177,,,,,Yes,Yes,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50594
178,,,,,Yes,,,,,A005193,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85349
179,,,,,Yes,,,,,A005625,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111787
180,,,,,Yes,,,,,A005625,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156298
181,,,,,Yes,,,,,A005625,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181295
