,Decision/Order Number,Date,Description,View Document,ApplID
11,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A030497B
12,97-02,1997-05-14,In the Matter of the Petition for Reconsideration of Permitted Application 30497 of Margaret Eastwood Trust: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-02.pdf,A030497B
13,2015-0001,2015-07-03,"In the Matter of License 13868 (Application 30497B) of the Clint Eastwood and Margaret Eastwood Trust in Monterey County: Decision Canceling Protests, Revoking a Water Right, and Issuing Water Rights",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2015/DD2015_0001.pdf,A030497B
14,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,A030497B02
15,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A030497B02
16,97-02,1997-05-14,In the Matter of the Petition for Reconsideration of Permitted Application 30497 of Margaret Eastwood Trust: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-02.pdf,A030497B02
17,2015-0001,2015-07-03,"In the Matter of License 13868 (Application 30497B) of the Clint Eastwood and Margaret Eastwood Trust in Monterey County: Decision Canceling Protests, Revoking a Water Right, and Issuing Water Rights",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2015/DD2015_0001.pdf,A030497B02
18,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,A030497B01
19,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A030497B01
20,97-02,1997-05-14,In the Matter of the Petition for Reconsideration of Permitted Application 30497 of Margaret Eastwood Trust: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-02.pdf,A030497B01
21,2015-0001,2015-07-03,"In the Matter of License 13868 (Application 30497B) of the Clint Eastwood and Margaret Eastwood Trust in Monterey County: Decision Canceling Protests, Revoking a Water Right, and Issuing Water Rights",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2015/DD2015_0001.pdf,A030497B01
22,2014-0030-DWR,2014-11-16,In the Matter of Diversion of Water from San Joaquin River Between Friant Dam And Gravelly Ford - Order For Additional Information,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2014/wro2014_0030_dwr.pdf,UN000852
23,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,A030497A
24,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A030497A
25,97-02,1997-05-14,In the Matter of the Petition for Reconsideration of Permitted Application 30497 of Margaret Eastwood Trust: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-02.pdf,A030497A
26,2015-0030-EXEC,2015-09-30,"In the Matter of Petition for Reconsideration of Middletown Farm and Cattle Company Regarding Water Right Applications 31454, 31557, and 31558 - Order Denying Reconsideration",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2015/wro2015_0030_exec.pdf,A031454
27,2015-0030-EXEC,2015-09-30,"In the Matter of Petition for Reconsideration of Middletown Farm and Cattle Company Regarding Water Right Applications 31454, 31557, and 31558 - Order Denying Reconsideration",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2015/wro2015_0030_exec.pdf,A031557
28,2015-0030-EXEC,2015-09-30,"In the Matter of Petition for Reconsideration of Middletown Farm and Cattle Company Regarding Water Right Applications 31454, 31557, and 31558 - Order Denying Reconsideration",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2015/wro2015_0030_exec.pdf,A031558
29,2009-0035-EXEC,2009-06-04,"In the Matter of Unauthorized Diversion and Use of Water by Carreras Ranch, LLC - Order Approving a Settlement Agreement between the Division of Water Rights and Carreras Ranch LLC",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0035exec.pdf,S019387
30,2014-0026-EXEC,2014-07-06,ln the Matter of Reconsideration of Samuel Baker Regarding lssuance of Water Right Permit 21305 (Application 30860) - Order Denying Reconsideration,orders/2014/wro2014_0026_exec.pdf,A030860
31,2015-0025,2015-07-21,In the Matter of Draft Cease and Desist Order and Administrative Civil Liability Complaint against Robert Mann (Individual and Trustee) and Robert C. Mann 1999 Trust,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2015/wro2015_0025.pdf,UN000227
32,WR 2009-0030-EXEC,2009-05-01,"In the Matter of the Diversion and Use of Water by Manchester Ridge, LLC, Settlement Order",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0030exec.pdf,S022805
33,WR 2009-0031-DWR,2009-05-05,"In the Matter of the Diversion and Use of Water by Harriet Jean Piper, et. al., Cease and Desist Order",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0031dwr.pdf,S022805
34,2015-0025,2015-07-21,In the Matter of Draft Cease and Desist Order and Administrative Civil Liability Complaint against Robert Mann (Individual and Trustee) and Robert C. Mann 1999 Trust,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2015/wro2015_0025.pdf,S022500
35,2009-0035-EXEC,2009-06-04,"In the Matter of Unauthorized Diversion and Use of Water by Carreras Ranch, LLC - Order Approving a Settlement Agreement between the Division of Water Rights and Carreras Ranch LLC",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0035exec.pdf,A031730
36,2010-0002,2010-12-06,In the Matter of Application 30946 of the Clear Ridge Mutual Water Association in Monterey County: Decision Dismissing Protests and Issuing Permit; See also Order 2011-0013-EXEC,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2010/dd2010_0002.pdf,A030946
37,2010-0001,2010-10-28,Decision Denying Application 31115,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2010/dd2010_0001.pdf,A031115
38,95-10,1995-07-06,"Order on four complaints filed against California-American Water Company ? Finding against respondant, in part, and directing corrective actions",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-10.pdf,S017353
39,WR 2009-0060,2009-10-20,In the Matter of the Unauthorized Diversion and Use of Water by the California American Water Company - Cease and Desist Order. Revised by Orders WR 2010-0001 and WR 2016-0016.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0060.pdf,S017353
40,WR 2010-0001,2010-01-05,"In the Matter of the Petitions for Reconsideration by Pebble Beach Company, Quail Lodge, Inc., CVR HSGE, LLC, Baylaurel, LLC, Del Monte, Forest Property Owners Regarding Order WR 2009-0060",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0001.pdf,S017353
41,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,S021602
42,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,S021602
43,97-02,1997-05-14,In the Matter of the Petition for Reconsideration of Permitted Application 30497 of Margaret Eastwood Trust: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-02.pdf,S021602
44,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031819
45,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031819
46,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031819
47,WR 2009-0030-EXEC,2009-05-01,"In the Matter of the Diversion and Use of Water by Manchester Ridge, LLC, Settlement Order",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0030exec.pdf,A031804
48,WR 2009-0031-DWR,2009-05-05,"In the Matter of the Diversion and Use of Water by Harriet Jean Piper, et. al., Cease and Desist Order",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0031dwr.pdf,A031804
49,1647,2008-12-02,In the Matter of Application 31174 Orange County Water District; Decision Partially Approving Application 31174; Corrected 5/1/2009,http://www.waterboards.ca.gov/waterrights/water_issues/programs/hearings/santa_ana_river/docs/corrected_decision1647.pdf,A031174A
50,2000-12,2000-09-21,"In the Matter of the Petitions to Revise Declaration of Fully Appropriated Streams to Allow Processing Specified Applications to Appropriate Water From the Santa Ana River: Santa Ana River in Riverside, San Bernardino and Orange County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2000/wro2000-12.pdf,A031174A
51,2002-0006,2002-07-02,"In the Matter of the Petitions to Revise Declaration of Fully Appropriated Streams To Allow Processing Specified Applications to Appropriate Water from the Santa Ana River: Santa Ana River in Riverside, San Bernardino and Orange Counties.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2002/wro2002-06.pdf,A031174A
52,2009-0002-DWR,2009-01-06,"In the Matter of Application T031732 San Bernardino Valley Municipal Water District and Western Municipal Water District of Riverside County, Order Approving Issuance of Temporary Permit.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2009/wro2009_0002.pdf,T031732
53,2003-0001,2003-01-13,"In the Matter of Applications 29498, 29724, and 29725 of William Morgan and Application 31054 of Kurt and Iria Blasek in Solano and Yolo Counties; Order Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2003/dd2003_0001.pdf,A029725
54,1647,2008-12-02,In the Matter of Application 31174 Orange County Water District; Decision Partially Approving Application 31174; Corrected 5/1/2009,http://www.waterboards.ca.gov/waterrights/water_issues/programs/hearings/santa_ana_river/docs/corrected_decision1647.pdf,A031174B
55,2000-12,2000-09-21,"In the Matter of the Petitions to Revise Declaration of Fully Appropriated Streams to Allow Processing Specified Applications to Appropriate Water From the Santa Ana River: Santa Ana River in Riverside, San Bernardino and Orange County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2000/wro2000-12.pdf,A031174B
56,2002-0006,2002-07-02,"In the Matter of the Petitions to Revise Declaration of Fully Appropriated Streams To Allow Processing Specified Applications to Appropriate Water from the Santa Ana River: Santa Ana River in Riverside, San Bernardino and Orange Counties.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2002/wro2002-06.pdf,A031174B
57,1647,2008-12-02,In the Matter of Application 31174 Orange County Water District; Decision Partially Approving Application 31174; Corrected 5/1/2009,http://www.waterboards.ca.gov/waterrights/water_issues/programs/hearings/santa_ana_river/docs/corrected_decision1647.pdf,A031174
58,2000-12,2000-09-21,"In the Matter of the Petitions to Revise Declaration of Fully Appropriated Streams to Allow Processing Specified Applications to Appropriate Water From the Santa Ana River: Santa Ana River in Riverside, San Bernardino and Orange County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2000/wro2000-12.pdf,A031174
59,2002-0006,2002-07-02,"In the Matter of the Petitions to Revise Declaration of Fully Appropriated Streams To Allow Processing Specified Applications to Appropriate Water from the Santa Ana River: Santa Ana River in Riverside, San Bernardino and Orange Counties.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2002/wro2002-06.pdf,A031174
60,2008-0001,2008-08-07,"In the Matter of Applications 31304, 31362, and 31363 of Klein Foods Inc; Decision Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2008/dd2008_0001.pdf,A031362
61,2008-0001,2008-08-07,"In the Matter of Applications 31304, 31362, and 31363 of Klein Foods Inc; Decision Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2008/dd2008_0001.pdf,A031363
62,2008-0001,2008-08-07,"In the Matter of Applications 31304, 31362, and 31363 of Klein Foods Inc; Decision Issuing Permits",http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2008/dd2008_0001.pdf,A031304
63,2000-03,2000-04-26,In the Matter of Administrative Civil Liability No. 262.5-12 against Phillip and Geneva Wasson: Unnamed Stream tributary to Conn Creek thence Anderson Creek thence Navarro River in Mendocino County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2000/wro2000-03.pdf,A031097
64,2007-0042-DWR,2007-11-30,In the Matter of Amended Permit 20808 (Application 27614); Carmel River and Carmel River Subterranean Stream tributary to Pacific Ocean,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2007/wro2007_0042_dwr.pdf,A027614A
65,97-03,1997-06-19,In the Matter of Petitions for Reconsideration of Order Making Determinations Pursuant to Condition 10 of Decision 1632: Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1997/wro97-03.pdf,A027614
66,1632,1995-07-06,In the matter of amended application 27614; petition for time extension for application 11674B of Monterey Peninsula Water District to appropriate water from Carmel River in Monterey County.,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1632.pdf,A027614
67,95-10,1995-07-06,"Order on four complaints filed against California-American Water Company ? Finding against respondant, in part, and directing corrective actions",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-10.pdf,A027614
68,2003-0014,2003-06-18,"In the Matter of Petitions for Reconsideration, Of Order Making Determinations Pursuant to Condition 10 of Decision 1632 WOLTER PROPERTIES LIMITED PARTNERSHIP; MICHAEL P. GROOM, TRUSTEE FOR FREDERICK AND PATRICIA HOLT; A. C. AND LINDA MARKKULA; KOREAN SAMBOSA BUDDHIST TEMPLE; HOMESTEAD HOMEOWNERS ASSOCIATION; CHUGACH & CO.; RICHARD EVANS; DONALD R. KOONTZ; NOVELLA NICHOLSON; AND BRUCE AND BETH STERTEN ¿ Carmel River in Monterey County",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2003/wro2003-14.pdf,A027614
69,98-04,1998-02-19,,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1998/wro98-04.pdf,A027614
70,2007-0042-DWR,2007-11-30,In the Matter of Amended Permit 20808 (Application 27614); Carmel River and Carmel River Subterranean Stream tributary to Pacific Ocean,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2007/wro2007_0042_dwr.pdf,A027614
71,2007-0042-DWR,2007-11-30,In the Matter of Amended Permit 20808 (Application 27614); Carmel River and Carmel River Subterranean Stream tributary to Pacific Ocean,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2007/wro2007_0042_dwr.pdf,A027614B
72,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031677
73,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031677
74,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031677
75,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031676
76,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031676
77,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031676
78,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031675
79,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031675
80,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031675
81,WR 95-17,1995-10-26,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District¿..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District¿..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 96-01.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-17.pdf,A013965B
82,WR 96-01,1996-01-18,"In the Matter of FISHERY PROTECTION AND WATER RIGHT ISSUES OF LAGUNITAS CREEK Involving Water Right Permits 5633, 9390, 2800 and 18546 Applications 9892, 14278, 17317, and 262421) of Marin Municipal Water District?..Water Right Permits 19724 and 19725 (Applications 25062 and 35079) and Diversion of Water Under Claim of Pre-1914 Appropriative Water Rights by North Marin Water District?..and Water Right License 4324 (Application 13965) and Diversion of Water Under Claim of Riparian Right by Waldo Giacomini: Lagunitas Creek in Marin County. See also Decision 1582 and Order WR 95-17.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1996/wro96-01.pdf,A013965B
83,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031674
84,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031674
85,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031674
86,WR 2010-0010,2010-02-16,In the Matter of the Petitions to Revise the Declaration of Fully Appropriated Streams to Allow Processing of Applications to Appropriate Water from the Kern River,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0010.pdf,A031673
87,WR 2010-0016,2010-05-04,In the Matter of Petition for Reconsideration of North Kern Water Storage District City of Shafter Buena Vista Water Storage District Kern Water Bank Authority Kern County Water Agency Regarding Order Amending Declaration of Fully Appropriate Streams to Remove Designation of the Kern River as Fully Appropriated,http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/2010/wro2010_0016.pdf,A031673
88,1196,1964-10-29,"In the matter of Applications 9446, 9447, 10941, 11071, 11148, 11351, 13403, 13709, 15440 of Buena Vista Water District to appropriate water from the Kern River in Kern County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1150_d1199/wrd1196.pdf,A031673
89,2005-0001,2005-11-02,In the Matter of Application 30933 of Michael and Lorene Kuimelis in Sonoma County; Decision Issuing Permit; See also Order 2006-0005-EXEC,http://www.waterboards.ca.gov/waterrights/water_issues/programs/applications/division_decisions/2005/dd2005_0001.pdf,A030933
90,83-16,1983-11-17,In the Matter of Permits 18955 and 18956 (Applications 27020 and 27101) of Michael and Grace Jacobs Family Trust: Chandler Gulch and Shaw Gulch in San Mateo County.,In the Matter of Permits 18955 and 18956 (Applications 27020 and 271D1) of MICHAEL And GRACE JACOBS FAMILY TRUST: Chandler Gulch and Shaw Gulch in San Mateo County.,A027020
91,95-1,1995-01-19,"In the Matter of Petitions to Add Uses of Water to Licenses 465, 466, and 4822 and Permit 854 (Applications 760, 1042, 12263, and 1321) of U.S. FISH AND WILDLIFE SERVICE: Parker Creek, Pine Creek and Stockdill Slough in Modoc County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-01.pdf,A012263
92,95-1,1995-01-19,"In the Matter of Petitions to Add Uses of Water to Licenses 465, 466, and 4822 and Permit 854 (Applications 760, 1042, 12263, and 1321) of U.S. FISH AND WILDLIFE SERVICE: Parker Creek, Pine Creek and Stockdill Slough in Modoc County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-01.pdf,A001042
93,95-1,1995-01-19,"In the Matter of Petitions to Add Uses of Water to Licenses 465, 466, and 4822 and Permit 854 (Applications 760, 1042, 12263, and 1321) of U.S. FISH AND WILDLIFE SERVICE: Parker Creek, Pine Creek and Stockdill Slough in Modoc County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1995/wro95-01.pdf,A001321
94,1638,1997-09-18,"In the matter of Application 29408 and Wastewater Change Petition WW-6 of the City of Thousand Oaks to appropriate water from Arroyo Conejo, Conejo Creek and Callequas Creek in Ventura County.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/decisions/d1600_d1649/wrd1638.pdf,A029408
95,80-7,1980-03-20,"In the Matter of Permitted Applications 11792, 12910, 12911, 12912, 13091, 13092, 13093, 18727, 18728, 1914B and 19149 of CALAVERAS COUNTY WATER DISTRICT: Stanislaus River and Tributaries in Tuolumne, Calaveras, Stanislaus and San Joaquin Counties.",http://www.waterboards.ca.gov/waterrights/board_decisions/adopted_orders/orders/1980/wro80-07.pdf,A011792A
