,6a. Construction work has commenced,6b. Construction is completed,6c. Beneficial uses of water has commenced,6d. Project will be completed within the time period specified in the permit,6e. Explanation of work remaining to be done,6f. Estimated date of completion,Beneficial uses of water has commenced,Construction is completed,Construction work has commenced,Estimated date of completion,Explanation of work remaining to be done,Project Status,Project will be completed within the time period specified in the permit,ApplID,Report_ID
28,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339801
29,,,,,,,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37044
30,,,,,,,Yes,No,No,12/31/2042,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,Not Complete,No,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50132
31,Yes,No,Yes,No,An extension of time request has been filed and the EIR process is underway.  Additional storage needs to be constructed.,12/31/2032,,,,,,Not Complete,,A000476,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85890
32,Yes,No,Yes,No,"The water spreading works are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112927
33,Yes,No,Yes,No,"The water spreading works are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156465
34,Yes,No,Yes,No,"The groundwater recharge facility ponds are of such nature that routine and continuing construciton is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208332
35,Yes,No,Yes,No,"The groundwater recharge facility ponds are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235105
36,Yes,No,Yes,No,"The groundwater recharge facility ponds are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293129
37,Yes,No,Yes,Yes,"The groundwater recharge facility ponds are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to replenish water underground",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340556
38,,,,,,,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=36575
39,Yes,No,Yes,No,"The groundwater recharge facility ponds are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to replenish water underground",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381020
40,,,,,,,Yes,No,Yes,12/31/2099,"The water spreading works are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",Not Complete,No,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50425
41,Yes,No,Yes,No,"The water spreading works are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A001122,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85716
42,Yes,No,Yes,No,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112564
43,Yes,No,Yes,No,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156466
44,Yes,No,Yes,No,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181466
45,Yes,No,Yes,No,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207249
46,Yes,No,Yes,No,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235106
47,Yes,No,Yes,No,"This project is not considered complete as the Truckee River Operating Agreement is in the implementation process. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293130
48,Yes,No,Yes,No,"This project is not considered complete as the Truckee River Operating Agreement is in the implementation process. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340370
49,,,,,,,Yes,No,Yes,12/31/2020,"This project is not considered complete as a decision regarding water rights allocations is still pending subsequent to resolution of the legal challenges and implementation period of the Truckee River Operating Agreement.  Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations.  Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",Not Complete,No,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37560
50,,,,,,,Yes,No,Yes,12/31/2020,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations.  Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",Not Complete,No,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50536
51,Yes,No,Yes,No,"This project is not considered complete as a decision regarding water rights allocations is still pending and is in the process of being approved by necessary courts and agencies prior to the implementation period of the Truckee River Operating Agreement. Additionally, the amount used under this permit is expected to increase due to future growth and changing seasonal populations. Development in the Tahoe Basin and in the place of use under this permit has not yet met the projected build out.",12/31/2020,,,,,,Not Complete,,A001379,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85355
52,Yes,Yes,Yes,Yes,Reclamation has a licensing request on file with the SWRCB.  Reclamation has a petition for indefinite change on file with the SWRCB for implementation of the SJRRP.  It is Reclamation's understanding that the licensing process will continue after the SWRCB issues an order on this petition.,12/31/2013,,,,,,Not Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112565
53,,,,,,,,,,,,Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156661
54,Yes,Yes,Yes,No,Reclamation is working with State Water Board staff toward licensing.,12/31/2030,,,,,,Not Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208526
55,Yes,Yes,Yes,No,Reclamation is working with state water board staff toward licensing.,12/31/2030,,,,,,Not Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235107
56,,,,,,,,,,,,Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293325
57,,,,,,,,,,,,Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=339997
58,Yes,Yes,Yes,No,Petition for extension filed.,12/31/2030,,,,,,Not Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37728
59,,,,,,,,,,,,Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382183
60,,,,,,,Yes,Yes,Yes,12/31/2030,Petition has been filed to extend time period to maximize beneficial use.,Not Complete,No,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50340
61,Yes,Yes,Yes,No,Petition has been filed to extend time period to maximize beneficial use.,12/31/2030,,,,,,Not Complete,,A001465,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85356
62,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112002
63,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157218
64,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208151
65,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235108
66,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293881
67,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340553
68,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37547
69,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49376
70,,,,,,,,,,,,Complete,,A001614,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84786
71,Yes,Yes,Yes,No,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",12/31/2049,,,,,,Not Complete,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112566
72,Yes,No,Yes,No,Service area infill,01/01/2035,,,,,,Not Complete,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156467
73,Yes,No,Yes,Yes,Expand Distribution system,12/31/2030,,,,,,Not Complete,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207617
74,Yes,No,Yes,No,distribution facilities,12/31/2020,,,,,,Not Complete,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235109
75,Yes,No,Yes,No,Distribution,12/01/2020,,,,,,Not Complete,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293131
76,,,,,,,Yes,Yes,Yes,12/31/2049,"Use of the full permitted quantity has not occurred due to slower than anticipated growth and an emphasis on power generation.  To date, growth in consumptive use that has occurred has been met by reducing losses through an aggressive program of pipe replacement and canal lining projects.  Future growth will be met from increased diversions.",Not Complete,No,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37608
77,,,,,,,Yes,Yes,Yes,12/31/2049,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",Not Complete,No,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49893
78,Yes,Yes,Yes,No,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",12/31/2049,,,,,,Not Complete,,A001651,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85357
79,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and treatment facilities, distribution mains and storage facilities as needed to meet future municapal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=111794
80,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and treatment facilities, distribution mains and storage facilities as needed to meet future municapal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=151261
81,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and treatment facilities, distribution mains and storage facilities as needed to meet future municipal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157399
82,Yes,No,Yes,Yes,"see Attachment ""A"" under remarks",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=182386
83,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and treatment facilities, distribution mains and storage tank facilities as needed to meet future municipal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208333
84,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and treatment facilities, distribution mains and storage tank facilities as needed to meet future municipal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235110
85,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and
treatment facilities, distribution mains and storage tank facilities as needed
to meet future municipal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294060
86,,,,,,,Yes,No,Yes,12/31/2030,"see Attachment ""A"" under remarks",Not Complete,Yes,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37413
87,,,,,,,,,,,,,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=48476
88,,,,,,,Yes,No,Yes,12/31/2030,"Work remaining to be done includes construction of additional diversion and treatment capacity, distribution mains and storage facilities as needed to meet future municipal water demands",Not Complete,Yes,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50463
89,Yes,No,Yes,Yes,"Work remaining to be done includes construction of additional diversion and treatment facilities, distribution mains and storage facilities as needed to meet future municipal water demands.",12/31/2030,,,,,,Not Complete,,A001743,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=84578
90,Yes,Yes,Yes,No,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",12/31/2049,,,,,,Not Complete,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112567
91,Yes,No,Yes,No,Distribution system construction and residential infill,01/01/2049,,,,,,Not Complete,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157400
92,,,,,,,,,,,,Complete,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=207975
93,Yes,No,Yes,No,Additional Distribution,12/01/2030,,,,,,Not Complete,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235111
94,Yes,No,Yes,No,build pipeline,01/01/2022,,,,,,Not Complete,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=294061
95,,,,,,,Yes,Yes,Yes,12/31/2049,"Use of the full permitted quantity has not occurred due to slower than anticipated growth and an emphasis on power generation.  To date, growth in consumptive use that has occurred has been met by reducing losses through an aggressive program of pipe replacement and canal lining projects.  Future growth will be met from increased diversions.",Not Complete,No,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37607
96,,,,,,,Yes,Yes,Yes,12/31/2049,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",Not Complete,No,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49761
97,Yes,Yes,Yes,No,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversion.",12/31/2049,,,,,,Not Complete,,A002142,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85358
98,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112928
99,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=157019
100,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208152
101,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235112
102,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293679
103,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=340176
104,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37551
105,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=49533
106,,,,,,,,,,,,Complete,,A002652B,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85717
107,Yes,Yes,Yes,No,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",12/31/2049,,,,,,Not Complete,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=112568
108,Yes,No,Yes,No,Distribution system expansion within service area,01/01/2049,,,,,,Not Complete,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=156468
109,Yes,No,Yes,No,Irrigation and domestic water distribution system construction,12/31/2035,,,,,,Not Complete,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=208527
110,Yes,No,Yes,No,Need additional storage and distribution,12/31/2030,,,,,,Not Complete,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=235113
111,Yes,No,Yes,No,construct Distribution Facilities,02/02/2022,,,,,,Not Complete,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=293132
112,,,,,,,Yes,Yes,Yes,12/31/2049,"Use of the full permitted quantity has not occurred due to slower than anticipated growth and an emphasis on power generation.  To date, growth in consumptive use that has occurred has been met by reducing losses through an aggressive program of pipe replacement and canal lining projects.  Future growth will be met from increased diversions.",Not Complete,No,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=37606
113,,,,,,,Yes,Yes,Yes,12/31/2049,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",Not Complete,No,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=50105
114,Yes,Yes,Yes,No,"Use of full permitted capacity has not occurred due to slower than anticipated growth.  To date, growth in consumptive use that has occurred has been met by reducing losses and by voluntary conservation by customers.  Future growth will be met from increased diversions.",12/31/2049,,,,,,Not Complete,,A002778,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=85359
115,Yes,No,Yes,No,"The water spreading works are of such nature that routine and continuing construction is needed to repair and build dikes, smooth land, etc. to force water underground.",12/31/2099,,,,,,Not Complete,,A002922,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=113101
