,Domestic,Irrigation,Municipal,No types selected.,Other,ApplID,Report_ID
39,,"260
                Acres
                Mixed Crop Types",,,,G190536,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124304
40,,"260
                Acres
                Mixed Crop Types",,,,G190536,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168589
41,,"260
                Acres
                Mixed Crop Types",,,,G190536,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219517
42,,"260
                Acres
                Mixed Crop Types",,,,G190536,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247329
43,,"260
                
                Mixed Crop Types",,,,G190536,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305207
44,,"230
                Acres
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108820
45,,"230
                Acres
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=110425
46,,"230
                Acres
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124872
47,,"230
                Acres
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168590
48,,"230
                Acres
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219518
49,,"230
                Acres
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247330
50,,"230
                
                Mixed Crop Types",,,,G190537,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305208
51,,"230
                Acres
                Mixed Crop Types",,,,G190539,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108981
52,,"230
                Acres
                Mixed Crop Types",,,,G190539,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125019
53,,"230
                Acres
                Mixed Crop Types",,,,G190539,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169538
54,,"230
                Acres
                Mixed Crop Types",,,,G190539,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219708
55,,"230
                Acres
                Mixed Crop Types",,,,G190539,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247331
56,,"230
                
                Mixed Crop Types",,,,G190539,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=306158
57,,"80
                Acres
                Alfalfa",,,,G190548,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108297
58,,"80
                Acres
                Alfalfa",,,,G190548,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124374
59,,,,No types selected.,,G190548,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169058
60,,"112
                Acres
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108420
61,,"129
                Acres
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124491
62,,"140
                Acres
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168784
63,,"130
                Acres
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219519
64,,"125
                Acres
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247332
65,,"133
                
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305409
66,,"85
                
                Alfalfa",,,,G190603,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352617
67,,"98
                Acres
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108982
68,,"110
                Acres
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125020
69,,"110
                Acres
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=149508
70,,"110
                Acres
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168591
71,,"115
                Acres
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220030
72,,"126
                Acres
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247333
73,,"90
                
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305209
74,,"137
                
                Alfalfa",,,,G190604,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352046
75,,,,,CONCRETE SAND & GRAVEL,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108421
76,,,,,CONCRETE SAND & GRAVEL,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124492
77,,,,,Concrete Sand & Gravel,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169695
78,,,,,Concrete Sand & Gravel,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220575
79,,,,,Concrete Sand & Gravel,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247334
80,,,,,Concrete Sand & Gravel,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=306319
81,,,,,Concrete Sand & Gravel,G190637,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352686
82,,,,,CONCRETE SAND & GRAVEL,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108043
83,,,,,CONCRETE SAND & GRAVEL,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124133
84,,,,,Concrete Sand & Gravel,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168592
85,,,,,Concrete Sand & Gravel,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219520
86,,,,,Concrete Sand & Gravel,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247335
87,,,,,Concrete Sand & Gravel,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305210
88,,,,,Concrete Sand & Gravel,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=335801
89,,,,,Concrete Sand & Gravel,G190638,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=353234
90,,,,,CONCRETE SAND & GRAVEL,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108221
91,,,,,Sand & Gravel,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124305
92,,,,,Concrete Sand & Gravel,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168593
93,,,,,Concrete Sand & Gravel,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220576
94,,,,,Concrete Sand & Gravel,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247336
95,,,,,Concrete Sand & Gravel,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305211
96,,,,,Concrete Sand & Gravel,G190639,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352872
97,750 connections,,,,,G190781,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=382376
98,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108983
99,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125021
100,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168989
101,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220031
102,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247337
103,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305611
104,,,115000,,,G190813,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352822
105,"2 persons, 10,000 sq. ft lawn and garden","70
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109359
106,"2 persons, 10,000 sq. ft lawn and garden","70
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109520
107,"2 persons, 10,000 sq. ft. lawn , animals","70
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125384
108,"2 persons,10,000 sq. ft. landscaping- lawns and trees, animals","65
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169357
109,"2 persons,10,000 sq. ft. landscaping- lawns and trees, animals","65
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=179335
110,"2 persons,approx 10,000 sq. ft. lawn/ garden, trees and animals","65
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219709
111,"2 persons, approx 10,000 sq. ft. lawn/garden, trees and animals","60
                Acres
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247338
112,"2persons,approx 10,000 sq ft lawn/garden, trees and animals","30
                
                Alfalfa",,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305975
113,"2persons,approx 10,000 sq ft lawn/garden, trees and animals",,,,domestic,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=337811
114,"2 persons,approx. 10,000 sq. ft. lawn/garden trees and animals. Domestic use only",,,,,G190847,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352415
115,"900 homes 3,000 individual","25
                Acres
                Mixed Crop Types",7000,,"dust control, bottled water, bulk hauled water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108222
116,"900 homes 3,000 individuals","25
                Acres
                Mixed Crop Types",7000,,"dust control, bottled water, bulk hauled water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124306
117,900 Homes 3000 Individuals,"35
                Acres
                Mixed Crop Types",7000,,"dust control, bottled water, bulk hauled water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168594
118,900 Homes 3000 Individuals,"35
                Acres
                Mixed Crop Types",7000,,"Dust Control, Bottled Water, Bulk Hauled Potable Water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181308
119,"900 Homes, 3000 Individuals","35
                Acres
                Mixed Crop Types",7000,,"Dust Control, Bottled Water, Bulk Hauled Potable Water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219521
120,"900 Homes, 3000 Individuals","35
                Acres
                Mixed Crop Types",7000,,"Dust Control, Bottled Water, Bulk Hauled Potable Water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247340
121,"900 Homes, 3000 Individuals","35
                
                Mixed Crop Types",7000,,"Dust Control, Bottle Water, Bulk Hauled Potable Water",G190956,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305212
122,,,,No types selected.,,G190968,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109174
123,,"50
                Acres
                Alfalfa",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108422
124,,"76
                Acres
                Alfalfa",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124493
125,,"50
                Acres
                Alfalfa",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169177
126,,"75
                Acres
                Alfalfa",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219861
127,,"70
                Acres
                Mixed Crop Types",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247341
128,,"22
                
                Alfalfa",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305796
129,,"20
                
                Alfalfa",,,,G190981,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352808
130,,"100
                Acres
                Alfalfa",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108045
131,,"102
                Acres
                Alfalfa",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124135
132,,"153
                Acres
                Alfalfa",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168785
133,,"75
                Acres
                Alfalfa",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219522
134,,"130
                Acres
                Mixed Crop Types",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247342
135,,"80
                
                Alfalfa",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305410
136,,"100
                
                Alfalfa",,,,G190982,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352809
137,,"120
                Acres
                Alfalfa",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=109360
138,,"110
                Acres
                Alfalfa",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125385
139,,"130
                Acres
                Alfalfa",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169358
140,,"124
                Acres
                Alfalfa",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220395
141,,"120
                Acres
                Mixed Crop Types",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247343
142,,"140
                
                Alfalfa",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305976
143,,"128
                
                Alfalfa",,,,G190983,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=351870
144,,,99,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108423
145,99,,,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124494
146,95,,,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169359
147,,,95,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=181561
148,95,,,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219862
149,95,,,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247344
150,,,,,Backup well periodic flushing,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305977
151,,,99,,,G190987,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=82576
152,domestic and livestock,,,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108985
153,"10 persons, sheep, etc.",,,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=125022
154,,"1
                Acres
                Alfalfa",,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169360
155,,"1
                Acres
                Alfalfa",,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220773
156,,"1
                Acres
                Alfalfa",,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247345
157,"10 persons, sheep, etc.",,,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305978
158,"10 persons, sheep",,,,,G191047,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=351873
159,,"6.10
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108223
160,,"10
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124307
161,,"111
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168990
162,,"111
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=180662
163,,"111
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220212
164,,"128
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247346
165,,"128
                Acres
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288215
166,,"111
                
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305612
167,,"111
                
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352250
168,,"111
                
                Alfalfa",,,,G191048,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=381341
169,,"0.24
                Acres
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108629
170,,"1
                Acres
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124691
171,,"72
                Acres
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=168786
172,,"122
                Acres
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=219710
173,,"131
                Acres
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247347
174,,"124
                
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305411
175,,"124
                
                Alfalfa",,,,G191049,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=352434
176,,"1
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108046
177,,"6
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=124136
178,,"44
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=169361
179,,"44
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=220032
180,,"44
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=247348
181,,"21
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288210
182,,"22
                Acres
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=288211
183,,"10
                
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=305979
184,,"15
                
                Alfalfa",,,,G191050,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=353172
185,,"10
                Acres
                Alfalfa",,,,G191105,http://ciwqs.waterboards.ca.gov/ciwqs/ewrims_online_reporting/viewReport.do?formId=108822
